"Period","Portfolio_Value_Start","Monthly_Return","Investment_Added","Portfolio_Value_End"
1,10000,0,500,10500
2,10500,-0.0101640971770134,500,10893.2769796414
3,10893.2769796414,-0.00599116277020574,500,11328.0135841554
4,11328.0135841554,-0.00379967277448913,500,11784.9708393506
5,11784.9708393506,-0.00238513154903438,500,12256.8621335972
6,12256.8621335972,-0.00137330200707023,500,12740.0297602288
7,12740.0297602288,-0.000603085024105787,500,13232.3464390737
8,13232.3464390737,8.20210396863702e-06,500,13732.454972155
9,13732.454972155,0.000508071947875895,500,14239.4320473018
10,14239.4320473018,0.000926087075199797,500,14752.619001279
11,14752.619001279,0.00128176539595024,500,15271.5283978145
12,15271.5283978145,0.00158860047221442,500,15795.7887550387
